<dummyMainClass: void dummyMainMethod(java.lang.String[])>
<com.greenaddress.greenbits.GreenAddressApplication: void <clinit>()>
<dummyMainClass: com.greenaddress.greenbits.ui.MnemonicActivity dummyMainMethod_com_greenaddress_greenbits_ui_MnemonicActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.TransactionActivity dummyMainMethod_com_greenaddress_greenbits_ui_TransactionActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.GaService dummyMainMethod_com_greenaddress_greenbits_GaService(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.BuyActivity dummyMainMethod_com_greenaddress_greenbits_ui_BuyActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.MessagesActivity dummyMainMethod_com_greenaddress_greenbits_ui_MessagesActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.SellActivity dummyMainMethod_com_greenaddress_greenbits_ui_SellActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.SignUpActivity dummyMainMethod_com_greenaddress_greenbits_ui_SignUpActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.PinSaveActivity dummyMainMethod_com_greenaddress_greenbits_ui_PinSaveActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.preferences.NetworkSettingsActivity dummyMainMethod_com_greenaddress_greenbits_ui_preferences_NetworkSettingsActivity(android.content.Intent)>
<dummyMainClass: de.schildbach.wallet.ui.ScanActivity dummyMainMethod_de_schildbach_wallet_ui_ScanActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.preferences.SettingsActivity dummyMainMethod_com_greenaddress_greenbits_ui_preferences_SettingsActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.TwoFactorActivity dummyMainMethod_com_greenaddress_greenbits_ui_TwoFactorActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.PinActivity dummyMainMethod_com_greenaddress_greenbits_ui_PinActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.MainExchanger dummyMainMethod_com_greenaddress_greenbits_ui_MainExchanger(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.WatchOnlyLoginActivity dummyMainMethod_com_greenaddress_greenbits_ui_WatchOnlyLoginActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.RequestLoginActivity dummyMainMethod_com_greenaddress_greenbits_ui_RequestLoginActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.TabbedMainActivity dummyMainMethod_com_greenaddress_greenbits_ui_TabbedMainActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.FailHardActivity dummyMainMethod_com_greenaddress_greenbits_ui_FailHardActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.FirstScreenActivity dummyMainMethod_com_greenaddress_greenbits_ui_FirstScreenActivity(android.content.Intent)>
<dummyMainClass: com.greenaddress.greenbits.ui.monitor.NetworkMonitorActivity dummyMainMethod_com_greenaddress_greenbits_ui_monitor_NetworkMonitorActivity(android.content.Intent)>
